0,3110.18,3108.64
5,2963,2957.09
10,2756.18,2735.18
15,2448.91,2464.09
20,2078.18,2129.36
25,1871.91,1914.18
30,1560,1646
35,1344.18,1426.73
40,1224.36,1319.45
45,1034.55,1099.82
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
